# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:Q9V461	ENSEMBL:FBtr0070952|ENSEMBL:FBpp0070913|ENSEMBL:FBgn0025815	-	uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	physical association	reactome:R-DME-9757255	24243840
uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	physical association	reactome:R-DME-9757255	24243840
uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	physical association	reactome:R-DME-69018	24243840
uniprotkb:Q9V461	ENSEMBL:FBtr0070952|ENSEMBL:FBpp0070913|ENSEMBL:FBgn0025815	-	uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	physical association	reactome:R-DME-69018	24243840
uniprotkb:Q9V461	ENSEMBL:FBtr0070952|ENSEMBL:FBpp0070913|ENSEMBL:FBgn0025815	-	uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	physical association	reactome:R-DME-69018	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	uniprotkb:A1ZA03	-	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:Q9VUM0	ENSEMBL:FBtr0075646|ENSEMBL:FBpp0075399|ENSEMBL:FBgn0036486	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358511	24243840
ChEBI:30616	-	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	reactome:R-ALL-5358514	-	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:A1Z7C1	-	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	uniprotkb:A1Z7C1	-	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:A1ZA03	-	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	reactome:R-ALL-5358514	-	-	physical association	reactome:R-DME-5358511	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358511	24243840
ChEBI:30616	-	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	uniprotkb:A1Z7C1	-	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:A1Z7C1	-	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:Q9VUM0	ENSEMBL:FBtr0075646|ENSEMBL:FBpp0075399|ENSEMBL:FBgn0036486	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:A1ZA03	-	-	physical association	reactome:R-DME-5358528	24243840
reactome:R-ALL-5358526	-	-	uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	reactome:R-ALL-5358526	-	-	physical association	reactome:R-DME-5358528	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	uniprotkb:A1ZA03	-	-	physical association	reactome:R-DME-5358528	24243840
ChEBI:456216	-	-	uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	physical association	reactome:R-DME-5357523	24243840
uniprotkb:Q9VUM0	ENSEMBL:FBtr0075646|ENSEMBL:FBpp0075399|ENSEMBL:FBgn0036486	-	uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	physical association	reactome:R-DME-5357523	24243840
reactome:R-ALL-5358514	-	-	uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	physical association	reactome:R-DME-5358524	24243840
uniprotkb:Q9VUM0	ENSEMBL:FBtr0075646|ENSEMBL:FBpp0075399|ENSEMBL:FBgn0036486	-	uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	physical association	reactome:R-DME-5358531	24243840
ChEBI:30616	-	-	uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	physical association	reactome:R-DME-5358531	24243840
uniprotkb:P43248	ENSEMBL:FBtr0080630|ENSEMBL:FBtr0309281|ENSEMBL:FBtr0344019|ENSEMBL:FBtr0344018|ENSEMBL:FBpp0310469|ENSEMBL:FBpp0301208|ENSEMBL:FBpp0310470|ENSEMBL:FBpp0080203|ENSEMBL:FBgn0015546	-	reactome:R-ALL-5358514	-	-	physical association	reactome:R-DME-5358934	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:Q23979	ENSEMBL:FBtr0072675|ENSEMBL:FBpp0072568|ENSEMBL:FBgn0010246	-	physical association	reactome:R-DME-5250916	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:O46037	ENSEMBL:FBtr0342770|ENSEMBL:FBtr0342771|ENSEMBL:FBtr0070420|ENSEMBL:FBpp0309622|ENSEMBL:FBpp0309623|ENSEMBL:FBpp0070404|ENSEMBL:FBgn0004397	-	physical association	reactome:R-DME-9934508	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:P35220	ENSEMBL:FBtr0070038|ENSEMBL:FBpp0070037|ENSEMBL:FBgn0010215	-	physical association	reactome:R-DME-9934508	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	reactome:R-DME-9933842	-	-	physical association	reactome:R-DME-9934508	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:P18824	ENSEMBL:FBgn0000117|ENSEMBL:FBtr0332583|ENSEMBL:FBtr0089989|ENSEMBL:FBtr0089991|ENSEMBL:FBtr0089988|ENSEMBL:FBtr0089992|ENSEMBL:FBpp0089032|ENSEMBL:FBpp0089031|ENSEMBL:FBpp0089035|ENSEMBL:FBpp0304835|ENSEMBL:FBpp0089034	-	physical association	reactome:R-DME-9934508	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:Q7PLI0	-	-	physical association	reactome:R-DME-9934508	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:Q8SYP8	-	-	physical association	reactome:R-DME-9934508	24243840
