Identifier	Name	GO_Term
R-HSA-110144	ADP + ADP <=> AMP + ATP [AK2]	GO:0004017
R-HSA-110145	AMP + ATP <=> ADP + ADP [AK2]	GO:0004017
R-HSA-110308	REV1 inserts dCMP opposite to AP sites in DNA	GO:0017125
R-HSA-110311	POLZ extends translesion synthesis	GO:0003887
R-HSA-110317	Insertion of correct bases opposite the lesion by POLH	GO:0003887
R-HSA-110319	Elongation by POLH	GO:0003887
R-HSA-110363	FEN1 bound to PCNA and APEX1 cleaves flap ssDNA	GO:0017108
R-HSA-110368	POLD,POLE-mediated DNA strand displacement synthesis	GO:0003887
R-HSA-111264	Addition of nucleotides between position +11 and +30	GO:0003899
R-HSA-111524	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	GO:0004019
R-HSA-111742	RNR (M1M2) reduces nucleotide diphosphates to deoxynucleotide diphosphates (glutaredoxin)	GO:0036175
R-HSA-111751	RNR (M1M2) reduces nucleotide diphosphates to deoxynucleotide diphosphates (thioredoxin)	GO:0004748
R-HSA-111804	RNR (M1M2B) reduces nucleotide diphosphates to deoxynucleotide diphosphates (thioredoxin)	GO:0004748
R-HSA-112381	Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex	GO:0004674
R-HSA-112383	Hypophosphorylation of RNA Pol II CTD by FCP1P protein	GO:0004721
R-HSA-1168640	Ubiquitinated IkB is degraded	GO:0004175
R-HSA-1169406	ISGylation of host proteins	GO:0061662
R-HSA-1169421	Trans-autophosphorylation of activated ligand-responsive EGFR mutant dimers	GO:0004713
R-HSA-1176059	Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus	GO:0017056
R-HSA-1214188	PRDM9 trimethylates histone H3	GO:0042800
R-HSA-1225951	SOS-mediated nucleotide exchange of RAS (mediated by GRB2:SOS1 in complex with ligand-responsive p-6Y-EGFR mutants)	GO:0005085
R-HSA-1225952	Phosphorylation of SHC1 by ligand-responsive p-6Y-EGFR mutants	GO:0004713
R-HSA-1225956	Inefficient ubiquitination of ligand-responsive p-6Y-EGFR mutants by p-Y371-CBL	GO:0061630
R-HSA-1225957	SOS-mediated nucleotide exchange of RAS (mediated by GRB2:SOS1 in complex with phosphorylated SHC1 and ligand-responsive p-6Y-EGFR mutants)	GO:0005085
R-HSA-1225960	Phosphorylation of CBL by ligand-responsive p-6Y-EGFR mutants	GO:0004713
R-HSA-1226014	Conversion of PIP2 to PIP3 by PI3K bound to ligand-responsive p-6Y-EGFR mutants	GO:0046934
R-HSA-1234159	Proteasome proteolyzes ub-HIF-alpha	GO:0004175
R-HSA-1234163	Cytosolic VBC complex ubiquitinylates hydroxyprolyl-HIF-alpha 	GO:0004842
R-HSA-1234172	Nuclear VBC complex ubiquitinylates HIF-alpha	GO:0004842
R-HSA-1236935	Proteasomal cleavage of substrate (26S proteasome catalyst)	GO:0004175
R-HSA-1236970	Proteasomal clevage of exogenous antigen (26S proteasome catalyst)	GO:0004175
R-HSA-1247844	Phosphorylation of PLCG1 by ligand-responsive p-6Y-EGFR mutants	GO:0004713
R-HSA-1248655	Trans-autophosphorylation of EGFRvIII mutant dimers	GO:0004713
R-HSA-1248694	Trans-autophosphorylation of ERBB2 homodimer	GO:0004713
R-HSA-1253282	ERBB4 ubiquitination by WWP1/ITCH	GO:0004842
R-HSA-1296127	Activation of voltage gated Potassium channels	GO:0005249
R-HSA-1358789	Self-ubiquitination of RNF41	GO:0004842
R-HSA-1358790	RNF41 ubiquitinates ERBB3	GO:0004842
R-HSA-1358792	RNF41 ubiquitinates activated ERBB3	GO:0004842
R-HSA-1358795	Deubiquitination of RNF41 by P-USP8	GO:0004843
R-HSA-1363331	Ubiquitination of p130 (RBL2) by SCF (Skp2)	GO:0004842
R-HSA-1497784	The cofactor BH4 is required for electron transfer in the eNOS catalytic cycle	GO:0034617
R-HSA-1497796	BH2 binding can lead to eNOS uncoupling	GO:0034617
R-HSA-1497810	Uncoupled eNOS favours the formation of superoxide	GO:0016175
R-HSA-1504190	DVL is ubiquitinated by CUL3:KLHL12:RBX1	GO:0061630
R-HSA-1504193	Ubiquitinated DVL is degraded by the proteasome	GO:0004175
R-HSA-156832	INF-gamma induced phosphorylation of L13a	GO:0004672
R-HSA-156909	eEF1A complexes with GTP	GO:0019001
R-HSA-156912	Peptide transfer from P-site tRNA to the A-site tRNA	GO:0000048
R-HSA-156913	Regeneration of eEF1A:GTP by eEF1B activity	GO:0005085
R-HSA-156923	Hydrolysis of eEF1A:GTP	GO:0003924
R-HSA-157629	NOTCH2-ligand complex is cleaved to produce NEXT2	GO:0008237
R-HSA-157632	Complex of NOTCH1 with its ligand is cleaved to produce NEXT1	GO:0008237
R-HSA-159101	NXF1:NXT1 (TAP:p15) binds capped mRNA:CBC:EJC:TREX (minus DDX39B)	GO:0016887
R-HSA-1638803	Phosphorylation of cohesin by PLK1 at centromeres	GO:0004674
R-HSA-1638821	PP2A-B56 dephosphorylates centromeric cohesin	GO:0004722
R-HSA-1655851	S2P hydrolyzes SREBP1A,1C,2	GO:0004222
R-HSA-165726	Phosphorylation of Ribosomal protein S6 by activated S6K1	GO:0004674
R-HSA-167072	Hypophosphorylation of RNA Pol II CTD by FCP1P protein	GO:0004721
R-HSA-167084	Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex	GO:0004674
R-HSA-167097	HIV Promoter Opening: First Transition	GO:0043138
R-HSA-167098	Phosphorylation (Ser5) of RNA pol II CTD	GO:0004674
R-HSA-167113	Addition of the fourth nucleotide on the nascent HIV-1 transcript: Second Transition	GO:0003899
R-HSA-167115	Addition of nucleotides between position +11 and +30 on HIV-1 transcript	GO:0003899
R-HSA-167117	Addition of nucleotides 10 and 11 on the growing HIV-1 transcript: Third Transition	GO:0003899
R-HSA-167121	Addition of the third nucleotide on the nascent HIV-1 transcript	GO:0003899
R-HSA-167136	Addition of nucleotides 5 through 9 on the growing HIV-1 transcript	GO:0003899
R-HSA-167191	Hyperphosphorylation (Ser2) of RNA Pol II CTD by the P-TEFb(Cyclin T1:Cdk9) complex	GO:0008353
R-HSA-1678841	Regulation of protein ISGylation by ISG15 deconjugating enzyme USP18	GO:0019785
R-HSA-168184	Activated TAK1 mediates phosphorylation of the IKK Complex	GO:0004674
R-HSA-168915	K63-linked ubiquitination of RIP1 bound to the activated TLR complex	GO:0004842
R-HSA-169468	MCM2-7 mediated fork unwinding	GO:0004386
R-HSA-170704	Phosphorylation of DSIF by the P-TEFb(Cyclin T1:Cdk9) complex	GO:0008353
R-HSA-170706	Phosphorylation of  NEFL by the P-TEFb(Cyclin T1:Cdk9) complex	GO:0008353
R-HSA-170796	NPC transports GCK1:GCKR from cytosol to nucleoplasm	GO:0017056
R-HSA-173542	SMURF2 ubiquitinates SMAD2	GO:0004842
R-HSA-174057	Multiubiquitination of APC/C-associated Cdh1	GO:0004842
R-HSA-174058	Degradation of multiubiquitinated Cdh1	GO:0004175
R-HSA-174079	Phosphorylation of Cdh1 by Cyclin A:Cdk2	GO:0004693
R-HSA-174104	Ubiquitination of Cyclin A by APC/C:Cdc20 complex	GO:0004842
R-HSA-174105	Degradation of multiubiquitinated cell cycle proteins	GO:0004175
R-HSA-174110	Cdc25A mediated dephosphorylation of Cyclin A:phospho-Cdk2	GO:0004721
R-HSA-174144	Ubiquitination of Securin by phospho-APC/C:Cdc20 complex	GO:0004842
R-HSA-174159	Ubiquitination of Emi1 by SCF-beta-TrCP	GO:0004842
R-HSA-174164	Phosphorylation of Cyclin A:Cdk2 at Tyr 15	GO:0004713
R-HSA-174195	Ubiquitination of cell cycle proteins targeted by the APC/C:Cdh1complex	GO:0004842
R-HSA-174202	Degradation of multiubiquitinated Securin	GO:0004175
R-HSA-174203	SCF-mediated degradation of Emi1	GO:0004175
R-HSA-174227	Ubiquitination of Cyclin B by phospho-APC/C:Cdc20 complex	GO:0004842
R-HSA-174255	Degradation multiubiquitinated Cyclin A	GO:0004175
R-HSA-174425	The primase component of DNA polymerase:primase synthesizes a 6-10 nucleotide RNA primer on the G strand of the telomere	GO:0003899
R-HSA-174427	The polymerase component of DNA polymerase alpha:primase synthesizes a 20-nucleotide primer on the G strand of the telomere	GO:0003887
R-HSA-174438	Formation of the Flap Intermediate on the C-strand	GO:0043138
R-HSA-174439	Loading of PCNA - Sliding Clamp Formation on the C-strand of the telomere	GO:0003689
R-HSA-174441	Removal of RNA primer and dissociation of RPA and Dna2 from the C-strand	GO:0017108
R-HSA-174444	Formation of C-strand Okazaki fragments	GO:0003887
R-HSA-174446	Removal of remaining Flap from the C-strand	GO:0017108
R-HSA-174456	Joining of adjacent Okazaki fragments of the C-strand	GO:0003909
R-HSA-176264	Recruitment of the Rad9-Hus1-Rad1 complex to DNA	GO:0003689
R-HSA-176298	Activation of claspin	GO:0004674
R-HSA-177692	Activation of recruited TAK1 within the activated TLR3 complex 	GO:0008349
R-HSA-179417	Multiubiquitination of Nek2A	GO:0004842
R-HSA-1799329	Signal peptidase hydrolyzes signal peptide from ribosome-associated nascent protein	GO:0004252
R-HSA-180540	Multi-ubiquitination of APOBEC3G	GO:0004842
R-HSA-180573	Degradation of ubiquitinated CD4	GO:0004175
R-HSA-180597	Ubiquitination of CD4 by Vpu:CD4:beta-TrCP:SKP1 complex	GO:0004842
R-HSA-180603	Proteosome-mediated degradation of APOBEC3G	GO:0004175
R-HSA-182986	CBL-mediated ubiquitination of CIN85	GO:0004842
R-HSA-182993	Ubiquitination of stimulated EGFR (CBL)	GO:0004842
R-HSA-183036	Ubiquitination of stimulated EGFR (CBL:GRB2)	GO:0061630
R-HSA-183051	CBL ubiquitinates Sprouty	GO:0004842
R-HSA-183084	CBL escapes CDC42-mediated inhibition by down-regulating the adaptor molecule Beta-Pix	GO:0004842
R-HSA-183089	CBL binds and ubiquitinates phosphorylated Sprouty	GO:0004842
R-HSA-184269	Monoubiquitinated N-myristoyl GAG polyprotein is targeted to the late endosomal vesicle membrane by the ESCRT-I complex	GO:0008320
R-HSA-1852623	Ubiquitination of NICD1 by FBWX7	GO:0004842
R-HSA-1855161	I(1,3,4,5,6)P5 transports from the nucleus to the cytosol	GO:0022842
R-HSA-1855168	I(1,3,4,5)P4 transports from the cytosol to the nucleus	GO:0022842
R-HSA-1855173	5-PP-IP4 transports from the nucleus to the cytosol	GO:0022842
R-HSA-1855188	IP6 transports from the cytosol to the nucleus	GO:0022842
R-HSA-1855190	I(1,4,5)P3 transports from the cytosol to the nucleus	GO:0022842
R-HSA-1855201	I(1,3,4,6)P4 transports from the cytosol to the nucleus	GO:0022842
R-HSA-1855203	5-PP-IP5 transports from the nucleus to the cytosol	GO:0022842
R-HSA-1855212	1/3-PP-IP5 transports from the cytosol to the nucleus	GO:0022842
R-HSA-1855220	(PP)2-IP4 transports from the nucleus to the cytosol	GO:0022842
R-HSA-1861595	Extension of pseudopodia by myosin-X in a PI3K dependent manner	GO:0003774
R-HSA-187520	Cyclin E/A:Cdk2-mediated  phosphorylation of p27/p21	GO:0004693
R-HSA-187574	Degradation of ubiquitinated p27/p21 by the 26S proteasome	GO:0004175
R-HSA-187575	Ubiquitination of phospho-p27/p21	GO:0004842
R-HSA-187916	Cyclin A:Cdk2 mediated phosphorylation of p27/p21	GO:0004693
R-HSA-187934	Inactivation of Cyclin A:Cdk2 complexes by p27/p21	GO:0004861
R-HSA-187948	Phosphorylation of proteins involved in the G1/S transition by Cyclin A:Cdk2	GO:0004693
R-HSA-187949	CAK-mediated phosphorylation of Cyclin A:Cdk2	GO:0004674
R-HSA-187959	Phosphorylation of E2F1/E2F3 by Cyclin A:phosph-Cdk2(Thr 160)	GO:0004693
R-HSA-188191	APC/C:Cdh1-mediated degradation of Skp2	GO:0004175
R-HSA-188350	CAK-mediated phosphorylation of Cyclin E:Cdk2	GO:0004674
R-HSA-188390	Cyclin E:CDK2-mediated phosphorylation of RB1	GO:0004693
R-HSA-1912357	ITCH ubiquitinates DTX	GO:0004842
R-HSA-1912386	Ubiquitination of NOTCH1 by ITCH in the absence of ligand	GO:0004842
R-HSA-1912391	NICD1 is phosphorylated by CDK8	GO:0004693
R-HSA-1918092	CHIP (STUB1) mediates ubiquitination of ERBB2	GO:0004842
R-HSA-1918095	CUL5 mediates ubiquitination of ERBB2	GO:0004842
R-HSA-192627	Viral mRNA Export	GO:0017056
R-HSA-192704	Synthesis of PB1-F2	GO:0003746
R-HSA-192841	Viral Protein Synthesis	GO:0003746
R-HSA-192925	Export of Spliced Viral mRNA	GO:0017056
R-HSA-1963582	Trans-autophosphorylation of ERBB2 heterodimers	GO:0004713
R-HSA-1964482	RNA polymerase III transcribes microbial dsDNA to dsRNA	GO:0003899
R-HSA-1977296	NEDD4 ubiquitinates ERBB4jmAcyt1s80 dimer	GO:0004842
R-HSA-1980074	Ubiquitination of DLL/JAG ligands upon binding to NOTCH1	GO:0004842
R-HSA-1980118	ARRB mediates NOTCH1 ubiquitination	GO:0004842
R-HSA-202111	AKT1 phosphorylates eNOS	GO:0004674
R-HSA-202127	eNOS synthesizes NO	GO:0004517
R-HSA-202129	HSP90 binds eNOS:Caveolin-1:CaM complex	GO:0030235
R-HSA-202137	AKT1 binds eNOS complex via HSP90	GO:0140767
R-HSA-202144	Caveolin-1 dissociates from eNOS:CaM:HSP90 complex	GO:0030235
R-HSA-202453	Auto-ubiquitination of TRAF6	GO:0004842
R-HSA-202534	Ubiquitination of NEMO by TRAF6	GO:0004842
R-HSA-203901	Pol II mediated transcription of microRNA genes	GO:0003899
R-HSA-205008	Polyubiquitinated NRIF binds to p62 (Sequestosome)	GO:0043130
R-HSA-205118	TRAF6 polyubiquitinates NRIF	GO:0004842
R-HSA-209061	Ubiquitinated and phosphorylated IKBA binds to and is degraded by the proteasome complex	GO:0004175
R-HSA-209063	Beta-TrCP ubiquitinates NFKB p50:p65:phospho IKBA complex	GO:0004842
R-HSA-211715	Proteasome mediated degradation of PAK-2p34	GO:0004175
R-HSA-211734	Ubiquitination of PAK-2p34	GO:0004842
R-HSA-212263	PRC2 trimethylates histone H3 at lysine-27	GO:0016279
R-HSA-212269	DNMT1,3A,3B:PRC2 methylates cytosine and histone H3	GO:0008168
R-HSA-2130282	Degradation of ubiquitinated beta catenin by the proteasome	GO:0004175
R-HSA-2130336	Initial proteolyis of Ii by aspartic proteases to lip22	GO:0004197
R-HSA-2130349	Generation of CLIP from lip10	GO:0004197
R-HSA-2130504	Cleavage of lip22 to lip10	GO:0004197
R-HSA-2130641	Translocation of TGN-lysosome vesicle to lysosome	GO:0003924
R-HSA-2130725	Internalization of MHC II:Ii clathrin coated vesicle	GO:0003924
R-HSA-2160892	HYAL2 hydrolyses HA into 20kDa fragments	GO:0004415
R-HSA-2160915	Receptor-mediated uptake of HA	GO:0038024
R-HSA-2169050	SMURFs/NEDD4L ubiquitinate phosphorylated TGFBR1 and SMAD7	GO:0004842
R-HSA-2172172	Ubiquitination of DLL/JAG ligands upon binding to NOTCH2	GO:0004842
R-HSA-2172678	PHF8 demethylates histone H4K20me1	GO:0035575
R-HSA-2176475	Phosphorylation of SMAD2 and SMAD3 linker regions by CDK8 or CDK9	GO:0004674
R-HSA-2179276	SMURF2 monoubiquitinates SMAD3	GO:0004842
R-HSA-2179291	UCHL5, USP15 deubiquitinate TGFBR1	GO:0004843
R-HSA-2186747	Ubiquitination of SKI/SKIL by RNF111/SMURF2	GO:0004842
R-HSA-2186785	RNF111 ubiquitinates SMAD7	GO:0004842
R-HSA-2187368	STUB1 (CHIP) ubiquitinates SMAD3	GO:0004842
R-HSA-2213017	Auto-ubiquitination of TRAF3	GO:0004842
R-HSA-2220944	ADAM10/17 cleaves ligand-bound NOTCH1 PEST domain mutants to produce NEXT1 PEST domain mutants	GO:0008237
R-HSA-2220971	CDK8 phosphorylates NICD1 PEST domain mutants 	GO:0004693
R-HSA-2220976	NOTCH1 HD+PEST domain mutants are cleaved by ADAM10/17 irrespective of ligand binding	GO:0008237
R-HSA-2245218	CDK1 phosphorylates PHF8	GO:0004693
R-HSA-2294580	PLK1 hyperphosphorylates Condensin II complex	GO:0004674
R-HSA-2294600	CDK1 phosphorylates condensin II subunit NCAPD3	GO:0004693
R-HSA-2301205	SETD8 monomethylates histone H4	GO:0042799
R-HSA-2316352	SLC2A4 (GLUT4) vesicle translocates and docks at the plasma membrane	GO:0000146
R-HSA-2408529	Sec-tRNA(Sec):EEFSEC:GTP binds to 80S Ribosome	GO:0035368
R-HSA-2466068	Phosphorylation of cohesin by PLK1 at chromosomal arms	GO:0004674
R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	GO:0008234
R-HSA-2468039	Acetylation of SMC3 subunit of chromosomal arm associated cohesin by ESCO1 or ESCO2	GO:0008080
R-HSA-2468287	CDK1 phosphorylates CDCA5 (Sororin) at centromeres	GO:0004693
R-HSA-2468293	CDK1 phosphorylates CDCA5 (Sororin) at chromosomal arms	GO:0004693
R-HSA-2473152	Acetylation of SMC3 subunit of centromeric chromatin associated cohesin by ESCO1 or ESCO2	GO:0008080
R-HSA-2514854	CDK1 phosphorylates condensin I	GO:0004693
R-HSA-2529015	Dephosphorylation of CK2-modified condensin I	GO:0004721
R-HSA-2529020	CK2 phosphorylates condensin I subunits	GO:0004674
R-HSA-2545203	Deacetylation of cleaved cohesin	GO:0004407
R-HSA-2545253	Deacetylation of cohesin	GO:0004407
R-HSA-2574840	AJUBA facilitates AURKA autophosphorylation	GO:0004674
R-HSA-264444	Autoubiquitination of phospho-COP1(Ser-387 )	GO:0004842
R-HSA-264458	Proteasome mediated degradation of COP1	GO:0004175
R-HSA-2682349	RAF1:SGK:TSC22D3:WPP ubiquitinates SCNN channels	GO:0004842
R-HSA-2730752	NOTCH1 HD domain mutants are cleaved to produce NEXT1 irrespective of ligand binding	GO:0008237
R-HSA-2730904	Auto-ubiquitination of TRAF6	GO:0004842
R-HSA-2737728	Ubiquitination of DLL/JAG ligands upon binding to NOTCH1 HD domain mutants	GO:0004842
R-HSA-2769007	Ubiquitination of DLL/JAG ligands upon binding to NOTCH1 PEST domain mutants	GO:0004842
R-HSA-2900765	Ubiquitination of DLL/JAG ligands upon binding to NOTCH1 HD+PEST domain mutants	GO:0004842
R-HSA-2990880	NEK6/NEK7 phosphorylates NUP98	GO:0004674
R-HSA-2990882	CDK1 phosphorylates NUP98	GO:0004693
R-HSA-2997616	PIAS1,4 SUMOylates BRCA1 with SUMO2,3	GO:0019789
R-HSA-2997709	PIAS1,4 SUMOylates BRCA1 with SUMO1	GO:0019789
R-HSA-3000310	AURKA phosphorylates PLK1	GO:0004674
R-HSA-3000335	SCF-beta-TrCp1/2 ubiquitinates phosphorylated BORA	GO:0004842
R-HSA-3000348	RANBP2 SUMOylates SP100 with SUMO2	GO:0019789
R-HSA-3000399	RANBP2 SUMOylates SP100 with SUMO1	GO:0019789
R-HSA-3000411	RANBP2 SUMOylates PML with SUMO2	GO:0019789
R-HSA-3000434	PML, TRIM27, PIAS1,2-1 SUMOylate MDM2 with SUMO1	GO:0019789
R-HSA-3108212	SMC5-SMC6 Complex SUMOylates Cohesin with SUMO1	GO:0019789
R-HSA-3134804	STING ubiquitination by TRIM32 or TRIM56	GO:0004842
R-HSA-3134946	DDX41 ubiquitination by TRIM21	GO:0004842
R-HSA-3139027	Maturation of HIV Virion	GO:0008233
R-HSA-3149434	Transport of GAG to the Plasma Membrane	GO:0008320
R-HSA-3214912	KDM1A, KDM1B demethylate MeK5-histone H3	GO:0032452
R-HSA-3215295	USP7 deubiquitinates MDM2	GO:0004843
R-HSA-3215310	USP7 deubiquitinates TP53 and counteracts MDM2	GO:0004843
R-HSA-3222593	KDM6B demethylates H3K27me3 on p16INK4A promoter	GO:0071558
R-HSA-3229102	p-MAPKAPK3 phosphorylates BMI1	GO:0004674
R-HSA-3240295	PRC2-EZH2 trimethylates nucleosomes associated with CDKN2A promoter	GO:0046976
R-HSA-3247493	PIAS1 SUMOylates SP3 with SUMO1	GO:0019789
R-HSA-3249386	DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:dsDNA:ZBP1:TBK1	GO:0004842
R-HSA-3299691	SOD1 catalyzes 2H+ + 2O2.- => O2 + H2O2 (cytosol)	GO:0004784
R-HSA-3299753	CCS transfers Cu to SOD1 and oxidizes cysteine residues in SOD1	GO:0016532
R-HSA-3301237	KAT2 complexes acetylate histone H3	GO:0004402
R-HSA-3318415	ATF2 acetylates histone H2B, H4	GO:0004402
R-HSA-3321805	NSL acetylates histone H4	GO:0004402
R-HSA-3321975	NuA4 complex acetylates histone H2A, HIST1H4	GO:0004402
R-HSA-3322429	XIAP monoubiquinates TLE	GO:0061630
R-HSA-3341343	PRDX1,2,5 catalyze TXN reduced + H2O2 => TXN oxidized + 2H2O	GO:0008379
R-HSA-3364026	MLL2 complex trimethylates H3K4 at the MYC gene	GO:0042800
R-HSA-3371422	ATP hydrolysis by HSP70	GO:0016887
R-HSA-3371467	SIRT1 deacetylates HSF1	GO:0034979
R-HSA-3371554	HSF1 acetylation at Lys80	GO:0034212
R-HSA-3451147	KAT5 HAT complex acetylates TCF4 gene at histone H4	GO:0004402
R-HSA-3465545	PIAS1,3,4 SUMOylate MTA1 with SUMO2,3	GO:0019789
R-HSA-353125	26S proteosome degrades ODC holoenzyme complex	GO:0004175
R-HSA-3640861	RNF146 ubiquitinates ADP-ribosylated AXIN	GO:0061630
R-HSA-3640872	USP34 deubiquitinates AXIN1,AXIN2	GO:0004843
R-HSA-3640874	Ub-RibC-AXIN is degraded by the proteasome	GO:0004175
R-HSA-3662335	EP300 acetylates histone H2A, H2B, H3, H4	GO:0004402
R-HSA-3697008	CREBBP acetylates histone H2B, H3, H4	GO:0004402
R-HSA-3769447	HDAC1:2-containing complex deacetylate histones	GO:0004407
R-HSA-3777112	SOD1 catalyzes 2H+ + O2.- => O2 + H2O2 (mitochondrial intermembrane space)	GO:0004784
R-HSA-3777129	HDAC3 containing complexes deacetylate histone	GO:0004407
R-HSA-3780995	NHLRC1 mediated ubiquitination of EPM2A (laforin) and PPP1RC3 (PTG) associated with glycogen-GYG2	GO:0004842
R-HSA-3781009	NHLRC1 mediated ubiquitination of EPM2A and PPP1RC3 associated with glycogen-GYG1	GO:0004842
R-HSA-3782637	HDAC8 deacetylates histones	GO:0004407
R-HSA-3782655	HDAC10 deacetylates histone	GO:0004407
R-HSA-3788705	CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2	GO:0004693
R-HSA-3788724	Cdh1:APC/C ubiquitinates EHMT1 and EHMT2	GO:0004842
R-HSA-3788745	EHMT1:EHMT2 methylates IL8 promoter	GO:0140938
R-HSA-3788748	EHMT1:EHMT2 methylates IL6 promoter	GO:0140938
R-HSA-3797226	Defective NHLRC1 does not ubiquitinate EPM2A (laforin) and PPP1R3C (PTG) (type 2B disease)	GO:0004842
