# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:O61742	ENSEMBL:B0205.3.1|ENSEMBL:B0205.3.1|ENSEMBL:WBGene00004466	-	uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	physical association	reactome:R-CEL-9908028	24243840
uniprotkb:O61742	ENSEMBL:B0205.3.1|ENSEMBL:B0205.3.1|ENSEMBL:WBGene00004466	-	uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	physical association	reactome:R-CEL-9908028	24243840
uniprotkb:O61742	ENSEMBL:B0205.3.1|ENSEMBL:B0205.3.1|ENSEMBL:WBGene00004466	-	uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	physical association	reactome:R-CEL-9908028	24243840
uniprotkb:O61742	ENSEMBL:B0205.3.1|ENSEMBL:B0205.3.1|ENSEMBL:WBGene00004466	-	uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	physical association	reactome:R-CEL-9908028	24243840
uniprotkb:D6RYD9	ENSEMBL:Y38C1AA.13.1|ENSEMBL:Y38C1AA.13.1|ENSEMBL:WBGene00044736	-	uniprotkb:Q19980	ENSEMBL:F32G8.6.1|ENSEMBL:F32G8.6.1|ENSEMBL:WBGene00000298	-	physical association	reactome:R-CEL-1474149	24243840
uniprotkb:P34697	ENSEMBL:C15F1.7a.1|ENSEMBL:C15F1.7a.1|ENSEMBL:WBGene00004930	-	ChEBI:29036	-	-	physical association	reactome:R-CEL-3299681	24243840
ChEBI:29105	-	-	uniprotkb:P34697	ENSEMBL:C15F1.7a.1|ENSEMBL:C15F1.7a.1|ENSEMBL:WBGene00004930	-	physical association	reactome:R-CEL-3299681	24243840
ChEBI:29105	-	-	uniprotkb:P34697	ENSEMBL:C15F1.7a.1|ENSEMBL:C15F1.7a.1|ENSEMBL:WBGene00004930	-	physical association	reactome:R-CEL-3299679	24243840
uniprotkb:P34697	ENSEMBL:C15F1.7a.1|ENSEMBL:C15F1.7a.1|ENSEMBL:WBGene00004930	-	ChEBI:29036	-	-	physical association	reactome:R-CEL-3299679	24243840
uniprotkb:P34697	ENSEMBL:C15F1.7a.1|ENSEMBL:C15F1.7a.1|ENSEMBL:WBGene00004930	-	uniprotkb:P34697	ENSEMBL:C15F1.7a.1|ENSEMBL:C15F1.7a.1|ENSEMBL:WBGene00004930	-	physical association	reactome:R-CEL-3299679	24243840
uniprotkb:Q09289	ENSEMBL:C56G2.7a.1|ENSEMBL:C56G2.7a.1|ENSEMBL:WBGene00016981	-	uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	physical association	reactome:R-CEL-5665858	24243840
uniprotkb:Q09289	ENSEMBL:C56G2.7a.1|ENSEMBL:C56G2.7a.1|ENSEMBL:WBGene00016981	-	uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	physical association	reactome:R-CEL-5665858	24243840
uniprotkb:Q09289	ENSEMBL:C56G2.7a.1|ENSEMBL:C56G2.7a.1|ENSEMBL:WBGene00016981	-	uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	physical association	reactome:R-CEL-5665858	24243840
uniprotkb:Q09289	ENSEMBL:C56G2.7a.1|ENSEMBL:C56G2.7a.1|ENSEMBL:WBGene00016981	-	uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	physical association	reactome:R-CEL-5665858	24243840
uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	uniprotkb:Q09444	ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:WBGene00006724	-	physical association	reactome:R-CEL-5665845	24243840
uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	uniprotkb:Q09444	ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:WBGene00006724	-	physical association	reactome:R-CEL-5665845	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:Q09444	ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:WBGene00006724	-	physical association	reactome:R-CEL-5665845	24243840
uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	uniprotkb:Q09444	ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:C08B11.7.1|ENSEMBL:C08B11.7.2|ENSEMBL:WBGene00006724	-	physical association	reactome:R-CEL-5665845	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:Q17361	ENSEMBL:C13B4.2.1|ENSEMBL:C13B4.2.1|ENSEMBL:WBGene00006856	-	physical association	reactome:R-CEL-5689592	24243840
uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	uniprotkb:Q17361	ENSEMBL:C13B4.2.1|ENSEMBL:C13B4.2.1|ENSEMBL:WBGene00006856	-	physical association	reactome:R-CEL-5689592	24243840
uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	uniprotkb:Q17361	ENSEMBL:C13B4.2.1|ENSEMBL:C13B4.2.1|ENSEMBL:WBGene00006856	-	physical association	reactome:R-CEL-5689592	24243840
uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	uniprotkb:Q17361	ENSEMBL:C13B4.2.1|ENSEMBL:C13B4.2.1|ENSEMBL:WBGene00006856	-	physical association	reactome:R-CEL-5689592	24243840
uniprotkb:Q9N3T2	ENSEMBL:Y47G6A.8.1|ENSEMBL:Y47G6A.8.1|ENSEMBL:WBGene00000794	-	reactome:R-CEL-5649881	-	-	physical association	reactome:R-CEL-110407	24243840
