id|source|source_url|synonyms|term_name
CL_0000030|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||glioblast
CL_0000031|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""neuroblast""]"|neuroblast (sensu Vertebrata)
CL_0000032|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""neural placode cell""]"|neuroplacodal cell
CL_0000033|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||apocrine cell
CL_0000034|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""animal stem cell""]"|stem cell
CL_0000035|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""unipotent stem cell"", ""unipotential stem cell""]"|single fate stem cell
CL_0000036|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""epithelial stem cell""]"|epithelial fate stem cell
CL_0000037|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""HSC"", ""colony forming unit hematopoietic"", ""blood forming stem cell"", ""hemopoietic stem cell""]"|hematopoietic stem cell
CL_0000038|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""BFU-E"", ""CFU-E"", ""blast forming unit erythroid"", ""burst forming unit erythroid"", ""colony forming unit erythroid"", ""erythroid stem cell""]"|erythroid progenitor cell
CL_0000039|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||germ line cell
CL_0000040|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""CFU-M"", ""colony forming unit macrophage"", ""colony forming unit monocyte"", ""monocyte stem cell""]"|monoblast
CL_0000041|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""mature eosinocyte"", ""mature eosinophil leucocyte"", ""mature eosinophil leukocyte""]"|mature eosinophil
CL_0000042|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""neutrophilic granuloblast""]"|neutrophilic myeloblast
CL_0000043|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""mature basophil leucocyte"", ""mature basophil leukocyte""]"|mature basophil
CL_0000047|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""NSC"", ""neuronal stem cell""]"|neural stem cell
